E,syst,bin_center,hist_val
100,no_syst,3053.5714285714284,0.0004394087475631219
100,no_syst,3146.4285714285716,0.000522379102714815
100,no_syst,3239.2857142857147,0.0006010684690524441
100,no_syst,3332.1428571428573,0.0006572731661220898
100,no_syst,3425.0,0.0006781799094738336
100,no_syst,3517.857142857143,0.000693803832684211
100,no_syst,3610.714285714286,0.0006720699675034893
100,no_syst,3703.5714285714284,0.0006428441010387227
100,no_syst,3796.4285714285716,0.0006006289196670869
100,no_syst,3889.2857142857147,0.0005409887464217256
100,no_syst,3982.1428571428573,0.0004933513296173145
100,no_syst,4075.0,0.00044784467454235505
100,no_syst,4167.857142857143,0.0004022343823863789
100,no_syst,4260.714285714286,0.00034791314744891705
100,no_syst,4353.571428571428,0.0003074101632633625
100,no_syst,4446.428571428572,0.0002730055196453547
100,no_syst,4539.285714285715,0.00024132778598729576
100,no_syst,4632.142857142857,0.0002092164416293331
100,no_syst,4725.0,0.00018375027565730552
100,no_syst,4817.857142857143,0.0001568461587310936
100,no_syst,4910.714285714286,0.00013660227404884435
100,no_syst,5003.571428571428,0.00010905443133666679
100,no_syst,5096.428571428572,9.410023158318634e-05
100,no_syst,5189.285714285715,7.645452733531526e-05
100,no_syst,5282.142857142857,5.780833559005597e-05
100,no_syst,5375.0,4.1608986404699565e-05
100,no_syst,5467.857142857143,2.63398411633336e-05
100,no_syst,5560.714285714286,1.7926704031408636e-05
100,no_syst,5653.571428571429,8.225960266802217e-06
100,no_syst,5746.428571428572,3.0390709893341142e-06
100,no_syst,5839.285714285715,1.1677018596490213e-06
100,no_syst,5932.142857142857,1.1347784630534532e-07
100,no_syst,6025.0,6.6751674289993275e-09
100,no_syst,6117.857142857143,0.0
100,no_syst,6210.714285714286,0.0
100,no_syst,6303.571428571429,0.0
100,no_syst,6396.428571428572,0.0
100,no_syst,6489.285714285715,0.0
100,no_syst,6582.142857142857,0.0
100,no_syst,6675.0,0.0
100,no_syst,6767.857142857143,0.0
100,no_syst,6860.714285714286,0.0
100,no_syst,6953.571428571429,0.0
1000,no_syst,546.4285714285714,0.0
1000,no_syst,639.2857142857143,0.0
1000,no_syst,732.1428571428571,0.0
1000,no_syst,825.0,0.0
1000,no_syst,917.8571428571429,0.0
